abbr_name,full_name,credits,semester,school
AAAS 102,Arabic and Islamic Studies,3,Fall2023,1
AAAS 103,Introduction to Africa,3,Fall2023,1
AAAS 104,Intro African-American Studies,3,Fall2023,1
AAAS 105,Intro to African History,3,Fall2023,1
AAAS 106,The Black Experience Americas,3,Fall2023,1
AAAS 160,Introdctn West African History,3,Fall2023,1
AAAS 200,Directed Studies,3,Fall2023,1
AAAS 203,Culture and Health,3,Fall2023,1
AAAS 204,"Culture and Health, Honors",3,Fall2023,1
AAAS 250,Intro to Translation & Theory,3,Fall2023,1
AAAS 300,African Traditionl Relgn&Thght,3,Fall2023,1
AAAS 305,Modern Africa,3,Fall2023,1
AAAS 310,Intro to Black Edu in the US,3,Fall2023,1
AAAS 320,African Studies In:,3,Fall2023,1
AAAS 322,Legal Issues&African American,3,Fall2023,1
AAAS 323,African-American Studies In:,3,Fall2023,1
AAAS 325,Popular Black Music,3,Fall2023,1
AAAS 326,Social Media & Afrcn Pop Cult,3,Fall2023,1
AAAS 327,African American Culture,3,Fall2023,1
AAAS 349,Islam,3,Fall2023,1
AAAS 365,Politics in Africa,3,Fall2023,1
AAAS 400,Readings in:,3,Fall2023,1
AAAS 420,Interculturl Comnctn:Afro-Amer,3,Fall2023,1
AAAS 429,Postcolonial Theatre and Drama,3,Fall2023,1
AAAS 437,Global Ethnic&Racial Relations,3,Fall2023,1
AAAS 460,Topc&Probm Africn&Afr-Amr Stds,3,Fall2023,1
AAAS 496,Field Experience,3,Fall2023,1
AAAS 502,Directed Language Study:,5,Fall2023,1
AAAS 503,Directed Language Study:,3,Fall2023,1
AAAS 504,Directed Language Study I:,3,Fall2023,1
AAAS 505,Directed Language Study II:,3,Fall2023,1
AAAS 511,The Civil Rights Movement,3,Fall2023,1
AAAS 523,African-American Studies in:,3,Fall2023,1
AAAS 555,African Film,3,Fall2023,1
AAAS 574,Slavery in the New World,3,Fall2023,1
AAAS 690,Investigation and Conference,3,Fall2023,1
AAAS 695,Honors Project in:,3,Fall2023,1
ABSC 100,Introd Applied Behavrl Science,3,Fall2023,1
ABSC 110,Appld Behvior Anlysis Prctitnr,3,Fall2023,1
ABSC 150,Community Leadership,3,Fall2023,1
ABSC 151,"Community Leadership, Honors",3,Fall2023,1
ABSC 160,Intro Child Behavior&Develpmnt,3,Fall2023,1
ABSC 250,Human Development,3,Fall2023,1
ABSC 304,Prin&Procedr Behavrl Intervtns,3,Fall2023,1
ABSC 308,Research Methods & Application,4,Fall2023,1
ABSC 349,Therapeutic Benefits of Play,3,Fall2023,1
ABSC 350,Behvrl Treatmnt Childrn Autism,3,Fall2023,1
ABSC 360,"Drugs, Addiction, and Behavior",3,Fall2023,1
ABSC 444,Curriclm Devlpmt Young Childrn,3,Fall2023,1
ABSC 469,Special Topics in:,3,Fall2023,1
ABSC 470,Orgnizatnl Behavior Managmnt,3,Fall2023,1
ABSC 489,Directed Readings in:,3,Fall2023,1
ABSC 499,Directed Research in:,3,Fall2023,1
ABSC 509,"Contmp Bhvrl Sci:Hst,Cncp&Cmpr",3,Fall2023,1
ABSC 529,Pediatrc Health&Hlth Promotion,3,Fall2023,1
ABSC 535,Developmental Psychopathology,3,Fall2023,1
ABSC 599,Hnr&Thsis  Appld Bhvrl Science,5,Fall2023,1
ABSC 606,Spcl Projects in the Community,10,Fall2023,1
ABSC 675,Pctm Inf-Tdlr Cr&Erly Intrvn I,5,Fall2023,1
ABSC 676,Pctm Inf-Tod Cr&Erly Intrvn II,5,Fall2023,1
ABSC 677,Prac Preschl Eductn&Intrvntn I,5,Fall2023,1
ABSC 678,Prc Preschl Eductn&Intrvntn II,5,Fall2023,1
ABSC 679,Prct Bhvr-Anl Rsh Erly Chld Ed,6,Fall2023,1
ABSC 680,Prc Adv Lab Dv Bh Tr Chd Autsm,6,Fall2023,1
ABSC 682,Orgniztnl Behavior Mgmt Practm,5,Fall2023,1
ABSC 683,Pctm Child Life Specialty,3,Fall2023,1
ABSC 685,Prc Cmty-bd Trt Prg Disab Adlt,6,Fall2023,1
ABSC 690,Prc Commnity Health&Developmnt,6,Fall2023,1
ABSC 691,"Prc Commnty Health&Devlpmnt,Hn",6,Fall2023,1
ABSC 692,Practicum in Basic Research,3,Fall2023,1
ABSC 693,Prac Historcl&Conceptl Foundtn,6,Fall2023,1
ABSC 695,Special Practicum in:,6,Fall2023,1
ABSC 696,"Special Practicum in, Honors:",6,Fall2023,1
ABSC 698,Special Research Practicum in:,6,Fall2023,1
ACCT 200,Fundamentals Financial Acctng,4,Fall2023,1
ACCT 201,Managerial Accounting I,3,Fall2023,1
ACCT 230,Intro Accounting Profession,1,Fall2023,1
ACCT 300,Special Topics Accounting:,3,Fall2023,1
ACCT 320,Intermediate Accounting I,3,Fall2023,1
ACCT 321,Intermediate Accountng Finance,3,Fall2023,1
ACCT 323,"Intermediate Accounting I,Hnrs",3,Fall2023,1
ACCT 325,Managerial Accounting II,3,Fall2023,1
ACCT 330,Introduction to Taxation,3,Fall2023,1
ACCT 410,Intermediate Accounting II,3,Fall2023,1
ACCT 425,Accounting Information Systems,3,Fall2023,1
ACCT 500,Special Topics Accounting:,3,Fall2023,1
ACCT 543,Introduction to Auditing,3,Fall2023,1
ACCT 545,Adv Tax Business Entity I,3,Fall2023,1
ACCT 599,Internship in Accounting,3,Fall2023,1
ADS 320,KU Design Symposium,1,Fall2023,1
ADS 325,Design Thinking & Resrch Mthds,3,Fall2023,1
ADS 401,Design Ethics,3,Fall2023,1
ADS 531,Internship Credit,6,Fall2023,1
ADS 560,Topics in Design:,3,Fall2023,1
ADS 580,Special Problems in Design,6,Fall2023,1
ADS 601,Design Ethics,3,Fall2023,1
AE 211,Computing for Engineers,3,Fall2023,1
AE 245,Intro to Aerospace Engineering,3,Fall2023,1
AE 290,Aerospace Colloquium,0,Fall2023,1
AE 345,Fluid Mechanics,3,Fall2023,1
AE 421,Aerospace Computer Graphics,3,Fall2023,1
AE 506,"Aerospace Structures I, Honors",3,Fall2023,1
AE 507,Aerospace Structures I,3,Fall2023,1
AE 510,Aerospace Materials&Processes,4,Fall2023,1
AE 520,Space Systems Design I,4,Fall2023,1
AE 521,Aerospace Systems Design I,4,Fall2023,1
AE 545,Fundamentals of Aerodynamics,4,Fall2023,1
AE 546,"Aerodynamics, Honors",4,Fall2023,1
AE 550,Dynamics of Flight I,4,Fall2023,1
AE 571,Fund Arplane Recip Proplsn Sys,3,Fall2023,1
AE 590,Aerospace Senior Seminar,1,Fall2023,1
AE 592,Spcl Prjct Arspc Eng Ugdl Stds,5,Fall2023,1
AE 690,Professnl Dvlpmnt Grad Studies,0,Fall2023,1
AEC   6,Antcptd Futr AEC Crdt Hrs,16,Fall2023,1
AEC  90,English Proficiency Test,0,Fall2023,1
AECL  20,"Listng,Spkng&Gramr Acad Purp 2",7,Fall2023,1
AECL  30,"Listng,Spkng&Gramr Acad Purp 3",7,Fall2023,1
AECL 140,"Listng,Spkng&Gramr Acad Purp 4",7,Fall2023,1
AECL 151,"Listng,Spkng&Gram Acad Pur 5",4,Fall2023,1
AECR  20,"Readng,Writng&Gram Acad Purp 2",7,Fall2023,1
AECR  30,"Readng,Writng&Gram Acad Purp 3",7,Fall2023,1
AECR 140,"Readng,Writng&Gram Acad Purp 4",7,Fall2023,1
AECR 151,"Readng,Writng&Gram Acad Purp 5",4,Fall2023,1
AESP 160,Appld Engl Ctr Special Topics:,1,Fall2023,1
AIR 100,Leadership Laboratory,0,Fall2023,1
AIR 144,Heritage &Values of the USAF I,1,Fall2023,1
AIR 284,Team&Leadership Fundamentals I,1,Fall2023,1
AIR 344,Leading People&Effective Com I,3,Fall2023,1
AIR 404,NatSec/Leadershp&Commissiong I,3,Fall2023,1
AMS 100,Introductn to American Studies,3,Fall2023,1
AMS 101,"Intro to American Studies, Hnr",3,Fall2023,1
AMS 110,American Identities,3,Fall2023,1
AMS 112,"American Identities, Honors",3,Fall2023,1
AMS 260,America's Latinos/Latinas,3,Fall2023,1
AMS 290,Religion in American Society,3,Fall2023,1
AMS 323,Sex in History,3,Fall2023,1
AMS 332,United States in Global Contxt,3,Fall2023,1
AMS 344,Case Study in Americn Studies:,3,Fall2023,1
AMS 360,Theory and Method,3,Fall2023,1
AMS 437,Global Ethnic&Racial Relations,3,Fall2023,1
AMS 496,Social Justice Perspect & Expr,3,Fall2023,1
AMS 551,Research Project in Amrcn Stds,3,Fall2023,1
AMS 552,Public Service in Americn Stds,3,Fall2023,1
AMS 553,Honors in American Studies,3,Fall2023,1
AMS 694,Directed Readings,4,Fall2023,1
AMS 696,Studies in:,3,Fall2023,1
ANTH 100,General Anthropology,3,Fall2023,1
ANTH 106,Introductory Linguistics,3,Fall2023,1
ANTH 107,"Introductory Linguistics, Hnrs",3,Fall2023,1
ANTH 150,Becoming Human,3,Fall2023,1
ANTH 151,"Becoming Human, Honors",3,Fall2023,1
ANTH 160,Varieties of Human Experience,3,Fall2023,1
ANTH 210,Archaeology's Greatest Hits,3,Fall2023,1
ANTH 212,Archaeological Myths&Realities,3,Fall2023,1
ANTH 293,"Myth,Legend&Flk Beliefs E Asia",3,Fall2023,1
ANTH 304,Fundmntls of Biological Anthro,3,Fall2023,1
ANTH 308,Fundamentals Cultrl Anthroplgy,3,Fall2023,1
ANTH 309,Becoming Human,3,Fall2023,1
ANTH 310,Fundamentals of Archaeology,3,Fall2023,1
ANTH 311,Archaeology Roadshow,3,Fall2023,1
ANTH 320,Language in Cultur and Society,3,Fall2023,1
ANTH 325,"Language, Gender and Sexuality",3,Fall2023,1
ANTH 360,Varieties of Human Experience,3,Fall2023,1
