abbr_name,full_name,credits,semester,school
AAAS 306,Black Expr U.S. Since Emancptn,3,Spring2023,1
AAAS 316,Mnistr&Mgcns:Blck Rel Slav Prs,3,Spring2023,1
AAAS 332,Introdction African Literature,3,Spring2023,1
AAAS 351,Africa's Human Geographies,3,Spring2023,1
AAAS 353,Modern&Contmprary Afrcn Art,3,Spring2023,1
AAAS 355,African Theatre and Drama,3,Spring2023,1
AAAS 415,Women and Islam,3,Spring2023,1
AAAS 520,African Studies in:,3,Spring2023,1
AAAS 534,The Rhetoric of Black Americns,3,Spring2023,1
AAAS 550,Senior Seminar in:,3,Spring2023,1
AAAS 598,Sexuality&Gender Africa Histry,3,Spring2023,1
ABSC 309,Child Life: Theory & Practice,3,Spring2023,1
ABSC 310,Building Healthy Communities,3,Spring2023,1
ABSC 311,"Buildg Healthy Communities,Hnr",3,Spring2023,1
ABSC 410,Behvrl Apprchs Wrkng Adolscnts,3,Spring2023,1
ABSC 425,Tchg Apprentcshp Apld Behv Sci,3,Spring2023,1
ABSC 694,Practicum in Juvenile Problems,6,Spring2023,1
ABSC 699,"Special Research Practicum,Hnr",6,Spring2023,1
ACCT 205,Survey of Accounting,3,Spring2023,1
ACCT 313,Financial Analysis & Analytics,3,Spring2023,1
ACCT 411,"Intermedte Accounting II, Hnrs",3,Spring2023,1
ACCT 515,Accnting Professnl Communictns,3,Spring2023,1
ADS 300,Foundations in UI/UX Design,3,Spring2023,1
ADS 340,History & Philosophy of Design,3,Spring2023,1
ADS 532,Study Abroad:,3,Spring2023,1
ADS 533,Study Abroad Documentation,3,Spring2023,1
AE 360,Introduction to Astronautics,3,Spring2023,1
AE 430,Aerospace Instrumentation Labr,3,Spring2023,1
AE 445,Aircraft Aerodynamc&Performanc,3,Spring2023,1
AE 508,Aerospace Structures II,3,Spring2023,1
AE 509,Honors Aerospace Structures II,3,Spring2023,1
AE 522,Aerospace Systems Design II,4,Spring2023,1
AE 523,Space Systems Design II,4,Spring2023,1
AE 551,Dynamics of Flight II,4,Spring2023,1
AE 552,Honors Dynamics of Flight II,4,Spring2023,1
AE 572,Fundamentals of Jet Propulsion,3,Spring2023,1
AE 573,Honors Propulsion,3,Spring2023,1
AEC   2,Level 2 Support Course,2,Spring2023,1
AEC   5,Shrt Trm Prgm AEC Crse Enrlmn:,0,Spring2023,1
AEC   7,Sht Trm Prgm Self-Cntnd Enrlm:,1,Spring2023,1
AIR 148,Heritage&Values of the USAF II,1,Spring2023,1
AIR 288,Team&Leadership Fundamentls II,1,Spring2023,1
AIR 348,Leadng People&Effective Com II,3,Spring2023,1
AIR 408,NatSec/Leadrshp&Commissiong II,3,Spring2023,1
AMS 306,Black Expr U.S. Since Emancptn,3,Spring2023,1
AMS 316,Mnistr&Mgcns:Blck Rel Slav Prs,3,Spring2023,1
AMS 550,Research Seminar in:,3,Spring2023,1
ANTH 301,Anthropology Through Films,3,Spring2023,1
ANTH 315,The Prehistory of Art,3,Spring2023,1
ANTH 317,Prehistory of Europe & Asia,3,Spring2023,1
ANTH 391,Topics in Anthropology:,3,Spring2023,1
ANTH 406,Archaeological Reserch Methods,3,Spring2023,1
ANTH 415,The Rise of Civilization,3,Spring2023,1
ANTH 491,Study Abroad Topics in:,5,Spring2023,1
ANTH 501,Tpc Sociocultural Anthropolgy:,3,Spring2023,1
ANTH 504,North American Archaeology,3,Spring2023,1
ANTH 506,Pre-Hispnc Mexico&Centrl Amrca,3,Spring2023,1
ANTH 582,Ethnobotany,3,Spring2023,1
ARAB 120,Elementary Arabic II,5,Spring2023,1
ARAB 220,Intermediate Arabic II,3,Spring2023,1
ARAB 320,Advanced Arabic II,3,Spring2023,1
ARAB 402,Readings in Arabic II,3,Spring2023,1
ARCE 315,Electric Circuits and Machines,3,Spring2023,1
ARCE 350,Building Materials Science,3,Spring2023,1
ARCE 351,"Buildng Materils Science, Hnrs",3,Spring2023,1
ARCE 641,Power Systems Engineering II,3,Spring2023,1
ARCE 650,Illumination Engineering,3,Spring2023,1
ARCE 661,HVAC&R Systems Design,3,Spring2023,1
ARCE 664,Fire Protection Engineering,3,Spring2023,1
ARCE 671,"HVAC&R Systems Design, Honors",3,Spring2023,1
ARCH 101,Architectural Foundations II,4,Spring2023,1
ARCH 109,Architectural Foundations II,6,Spring2023,1
ARCH 110,Introduction to Computing,3,Spring2023,1
ARCH 209,"Sustainability, Site, &Context",6,Spring2023,1
ARCH 502,Architectural Foundations II,6,Spring2023,1
ARCH 504,Sustainability and Context,6,Spring2023,1
ARCH 516,Portfolio Development,3,Spring2023,1
ARCH 531,Environmental Systems II,3,Spring2023,1
ARCH 541,Glbl Hist Arch II:Ind Rev/Prsn,3,Spring2023,1
ARCH 609,Integrated Design,6,Spring2023,1
ARCH 610,Integrated Dsgn Documentation,3,Spring2023,1
ARCH 620,Theory of Urban Design,3,Spring2023,1
ARCH 623,Building Practicum,3,Spring2023,1
ARCH 624,Structures II,3,Spring2023,1
ARCH 627,Bldg Techn II:Cultr Bldg Techn,3,Spring2023,1
ARCH 648,Historic Preservation Planning,3,Spring2023,1
ARCH 649,HIstoric Preservation Tech,3,Spring2023,1
ARCH 690,Architecture Study Abroad,6,Spring2023,1
ARCH 691,Architecture Practicum,6,Spring2023,1
ARCH 692,Documentation,3,Spring2023,1
ARMY 302,Thry&Dynmc Tacticl Operatns II,3,Spring2023,1
ASLD 313,Soc Jstce & Allyshp w Deaf Com,3,Spring2023,1
ASLD 414,Historical Foundation Deaf Ed,3,Spring2023,1
ASLD 502,Thries of Intrprtng:CoCnst Mng,3,Spring2023,1
ASLD 521,Discourse Analysis of ASL,3,Spring2023,1
ASLD 603,Intrprtng: Mdtd Intractns Coms,3,Spring2023,1
ASLD 610,Psychlgcl Effcts of Intrprtng,3,Spring2023,1
ASLD 613,Soc Jstce & Allyshp w Deaf Com,3,Spring2023,1
ASLD 614,Historical Foundations Deaf Ed,3,Spring2023,1
ASTR 391,"Physical Astronomy, Honors",3,Spring2023,1
ASTR 692,Astrophysics II,3,Spring2023,1
ATMO 525,Air Pollution Meteorology,3,Spring2023,1
ATMO 605,Operational Forecasting,2,Spring2023,1
ATMO 630,Synoptic Meteorology,3,Spring2023,1
ATMO 642,Remote Sensing,3,Spring2023,1
ATMO 660,Advanced Dynamic Meteorology,3,Spring2023,1
BAND 209,Basketball Band,1,Spring2023,1
BAND 409,Basketball Band,1,Spring2023,1
BBA 304,Marketing,3,Spring2023,1
BBA 307,Intro to Internationl Business,3,Spring2023,1
BBA 403,Ethicl Decisn Makng in Busines,3,Spring2023,1
BBA 404,Entrepreneurship,3,Spring2023,1
BBA 405,Introdctn to Supply Chain Mgmt,3,Spring2023,1
BBA 500,Individual Research in Businss,5,Spring2023,1
BBA 620,Intrmediate Financl Accntng II,3,Spring2023,1
BBA 640,Principles of Auditing,3,Spring2023,1
BCRS 108,Elementry Bosn/Croatn/Serbn II,5,Spring2023,1
BCRS 109,"Elemntry Bosn/Croatn&Serb II,H",5,Spring2023,1
BCRS 208,Intermedt Bosn/Croatn/Serbn II,3,Spring2023,1
BCRS 209,"Intermd Bosn/Croatn/Serbn II,H",3,Spring2023,1
BIOL 153,"Prncpls of Organisml Biology,H",3,Spring2023,1
BIOL 200,Basic Microbiology,3,Spring2023,1
BIOL 203,Introd Microbiology Laboratory,2,Spring2023,1
BIOL 412,Evolutionary Biology,4,Spring2023,1
BIOL 417,Biology of Development,3,Spring2023,1
BIOL 418,Laboratory in:,2,Spring2023,1
BIOL 426,Laboratory in Cell Biology,3,Spring2023,1
BIOL 428,Introduction to Systematics,3,Spring2023,1
BIOL 506,Bacterial Infectious Diseases,3,Spring2023,1
BIOL 507,Bacterial Infectious Dis Lab,2,Spring2023,1
BIOL 512,General Virology,3,Spring2023,1
BIOL 513,Virology Laboratory,2,Spring2023,1
BIOL 533,Biology of Fungi,4,Spring2023,1
BIOL 540,General Invertebrate Zoology,4,Spring2023,1
BIOL 546,Mammalian Physiology,3,Spring2023,1
BIOL 583,Herpetology,3,Spring2023,1
BIOL 598,Research Methods,3,Spring2023,1
BIOL 622,Paleontology,3,Spring2023,1
BIOL 623,Paleontology Laboratory,1,Spring2023,1
BIOL 638,Biochemistry II,4,Spring2023,1
BIOL 639,Advancd Biochemistry Laboratry,3,Spring2023,1
BIOL 650,Advanced Neurobiology,3,Spring2023,1
BIOL 668,Evolutionary Ecology,3,Spring2023,1
BIOL 672,Gene Expression,3,Spring2023,1
BIOL 699,Biology Honors Research Collqm,1,Spring2023,1
BLAW 505,Legl Aspcts of Management Proc,3,Spring2023,1
BSAN 412,HR Management Analytics,3,Spring2023,1
BSAN 460,Supply Chain Analytics,3,Spring2023,1
BSAN 500,Ind Rsch in Business Analytics,5,Spring2023,1
BSCI 400,Microbiology,3,Spring2023,1
BSCI 401,Microbiology Laboratory,3,Spring2023,1
BSCI 435,Neurobiology,3,Spring2023,1
BSCI 599,Senior Seminar:,1,Spring2023,1
BTEC 400,Applied Immunology,3,Spring2023,1
