full_name,abbr_name,start_time,end_time,semester,year,prof,school,course
Arabic and Islamic Studies,AAAS 102,12:30,01:45 PM,Fall2023,2023,"EL HAIMEUR, AMAL",1,1
Introduction to Africa,AAAS 103,12:30,01:45 PM,Fall2023,2023,"Ojiambo, Peter",1,2
Intro African-American Studies,AAAS 104,12:30,01:45 PM,Fall2023,2023,"Bolden, Anthony",1,3
Intro to African History,AAAS 105,11:00,12:15 PM,Fall2023,2023,,1,4
The Black Experience Americas,AAAS 106,11:00,12:15 PM,Fall2023,2023,"Alexander, Shawn",1,5
The Black Experience Americas,AAAS 106,APPT,,Fall2023,2023,"Adams, William",1,5
Introdctn West African History,AAAS 160,12:30,01:45 PM,Fall2023,2023,"Ochwada, Hannington",1,6
Directed Studies,AAAS 200,APPT,,Fall2023,2023,"Alexander, Shawn",1,7
Directed Studies,AAAS 200,APPT,,Fall2023,2023,"Bolden, Anthony",1,7
Directed Studies,AAAS 200,APPT,,Fall2023,2023,"Hines, Dorothy",1,7
Directed Studies,AAAS 200,APPT,,Fall2023,2023,"Persley, Nicole",1,7
Directed Studies,AAAS 200,APPT,,Fall2023,2023,"Jelks, Randal",1,7
Directed Studies,AAAS 200,APPT,,Fall2023,2023,"MacGonagle, Elizabeth",1,7
Directed Studies,AAAS 200,APPT,,Fall2023,2023,"Ojiambo, Peter",1,7
Directed Studies,AAAS 200,APPT,,Fall2023,2023,"Pennington, Dorthy",1,7
Directed Studies,AAAS 200,APPT,,Fall2023,2023,"Ukpokodu, Peter",1,7
Directed Studies,AAAS 200,APPT,,Fall2023,2023,"Yeku, James",1,7
Directed Studies,AAAS 200,04:30,06:00 PM,Fall2023,2023,"EL HAIMEUR, AMAL",1,7
Culture and Health,AAAS 203,APPT,,Fall2023,2023,,1,8
Culture and Health,AAAS 203,APPT,,Fall2023,2023,,1,8
"Culture and Health, Honors",AAAS 204,APPT,,Fall2023,2023,,1,9
Intro to Translation & Theory,AAAS 250,11:00,12:15 PM,Fall2023,2023,"Dickey, Stephen",1,10
African Traditionl Relgn&Thght,AAAS 300,11:00,12:15 PM,Fall2023,2023,"Ukpokodu, Peter",1,11
Modern Africa,AAAS 305,03:00,04:15 PM,Fall2023,2023,"Ochwada, Hannington",1,12
Intro to Black Edu in the US,AAAS 310,APPT,,Fall2023,2023,"Hines, Dorothy",1,13
African Studies In:,AAAS 320,APPT,,Fall2023,2023,"Yeku, James",1,14
Legal Issues&African American,AAAS 322,03:00,04:45 PM,Fall2023,2023,,1,15
African-American Studies In:,AAAS 323,11:00,12:15 PM,Fall2023,2023,"Ukpokodu, Peter",1,16
African-American Studies In:,AAAS 323,09:30,10:45 AM,Fall2023,2023,"Casey, Emily",1,16
