full_name,abbr_name,start_time,end_time,semester,year,prof,school,course
Introduction to Africa,AAAS 103,12:30,01:45 PM,Spring2023,2023,"Ojiambo, Peter",1,1
Intro African-American Studies,AAAS 104,APPT,,Spring2023,2023,"Alexander, Shawn",1,2
Intro to African History,AAAS 105,11:00,12:15 PM,Spring2023,2023,"Ochwada, Hannington",1,3
Intro to African History,AAAS 105,APPT,,Spring2023,2023,"Ochwada, Hannington",1,3
Introdctn West African History,AAAS 160,03:00,04:15 PM,Spring2023,2023,"Ochwada, Hannington",1,4
Directed Studies,AAAS 200,APPT,,Spring2023,2023,"Alexander, Shawn",1,5
Directed Studies,AAAS 200,APPT,,Spring2023,2023,"Bolden, Anthony",1,5
Directed Studies,AAAS 200,APPT,,Spring2023,2023,"Rhine, Kathryn",1,5
Directed Studies,AAAS 200,APPT,,Spring2023,2023,"Gerschultz, Jessica",1,5
Directed Studies,AAAS 200,APPT,,Spring2023,2023,"Jelks, Randal",1,5
Directed Studies,AAAS 200,APPT,,Spring2023,2023,"MacGonagle, Elizabeth",1,5
Directed Studies,AAAS 200,APPT,,Spring2023,2023,"Ojiambo, Peter",1,5
Directed Studies,AAAS 200,APPT,,Spring2023,2023,"Pennington, Dorthy",1,5
Directed Studies,AAAS 200,APPT,,Spring2023,2023,"Ukpokodu, Peter",1,5
Culture and Health,AAAS 203,APPT,,Spring2023,2023,"Rhine, Kathryn",1,6
Culture and Health,AAAS 203,APPT,,Spring2023,2023,"Henderson, Hazlett; Rhine, Kathryn; Adela, Charity; Fidelis, Godson",1,6
Culture and Health,AAAS 203,APPT,,Spring2023,2023,"Henderson, Hazlett; Rhine, Kathryn; Adela, Charity; Fidelis, Godson",1,6
Culture and Health,AAAS 203,APPT,,Spring2023,2023,"Henderson, Hazlett; Rhine, Kathryn; Adela, Charity; Fidelis, Godson",1,6
"Culture and Health, Honors",AAAS 204,02:00,02:50 PM,Spring2023,2023,"Rhine, Kathryn",1,7
Intro to Translation & Theory,AAAS 250,11:00,12:15 PM,Spring2023,2023,"Dickey, Stephen",1,8
Black Expr U.S. Since Emancptn,AAAS 306,11:00,12:15 PM,Spring2023,2023,"Jelks, Randal",1,9
Mnistr&Mgcns:Blck Rel Slav Prs,AAAS 316,02:00,02:50 PM,Spring2023,2023,"Schwaller, Rachel",1,10
African Studies In:,AAAS 320,04:30,06:00 PM,Spring2023,2023,"EL HAIMEUR, AMAL",1,11
African Studies In:,AAAS 320,APPT,,Spring2023,2023,"Ukpokodu, Peter",1,11
African Studies In:,AAAS 320,11:00,12:15 PM,Spring2023,2023,"Ukpokodu, Peter",1,11
African Studies In:,AAAS 320,APPT,,Spring2023,2023,"Yeku, James",1,11
African Studies In:,AAAS 320,01:00,02:15 PM,Spring2023,2023,"De Andrade Tosta, Antonio",1,11
African-American Studies In:,AAAS 323,11:00,12:15 PM,Spring2023,2023,"Pennington, Dorthy",1,12
African-American Studies In:,AAAS 323,APPT,,Spring2023,2023,"Ukpokodu, Peter",1,12
African-American Studies In:,AAAS 323,APPT,,Spring2023,2023,"Hines, Dorothy",1,12
African-American Studies In:,AAAS 323,APPT,,Spring2023,2023,"Yeku, James",1,12
African-American Studies In:,AAAS 323,APPT,,Spring2023,2023,"Hines, Dorothy",1,12
Popular Black Music,AAAS 325,APPT,,Spring2023,2023,"Leslie-Canty, Teresa",1,13
Introdction African Literature,AAAS 332,09:00,10:15 AM,Spring2023,2023,"Yeku, James",1,14
Africa's Human Geographies,AAAS 351,09:30,10:45 AM,Spring2023,2023,"Morris, Julie",1,15
Modern&Contmprary Afrcn Art,AAAS 353,APPT,,Spring2023,2023,"Gerschultz, Jessica",1,16
African Theatre and Drama,AAAS 355,11:00,12:15 PM,Spring2023,2023,"Ukpokodu, Peter",1,17
Readings in:,AAAS 400,APPT,,Spring2023,2023,"Alexander, Shawn",1,18
Readings in:,AAAS 400,APPT,,Spring2023,2023,"Bolden, Anthony",1,18
Readings in:,AAAS 400,APPT,,Spring2023,2023,"Gerschultz, Jessica",1,18
Readings in:,AAAS 400,APPT,,Spring2023,2023,"Jelks, Randal",1,18
Readings in:,AAAS 400,APPT,,Spring2023,2023,"MacGonagle, Elizabeth",1,18
Readings in:,AAAS 400,APPT,,Spring2023,2023,"Ojiambo, Peter",1,18
Readings in:,AAAS 400,APPT,,Spring2023,2023,"Pennington, Dorthy",1,18
Readings in:,AAAS 400,APPT,,Spring2023,2023,"Ukpokodu, Peter",1,18
Women and Islam,AAAS 415,APPT,,Spring2023,2023,"Benbaba, Asmaa",1,19
Topc&Probm Africn&Afr-Amr Stds,AAAS 460,APPT,,Spring2023,2023,"Alexander, Shawn",1,20
Topc&Probm Africn&Afr-Amr Stds,AAAS 460,APPT,,Spring2023,2023,"Bolden, Anthony",1,20
Topc&Probm Africn&Afr-Amr Stds,AAAS 460,APPT,,Spring2023,2023,"Gerschultz, Jessica",1,20
Topc&Probm Africn&Afr-Amr Stds,AAAS 460,APPT,,Spring2023,2023,"Jelks, Randal",1,20
Topc&Probm Africn&Afr-Amr Stds,AAAS 460,APPT,,Spring2023,2023,"MacGonagle, Elizabeth",1,20
Topc&Probm Africn&Afr-Amr Stds,AAAS 460,APPT,,Spring2023,2023,"Ojiambo, Peter",1,20
Topc&Probm Africn&Afr-Amr Stds,AAAS 460,APPT,,Spring2023,2023,"Pennington, Dorthy",1,20
Topc&Probm Africn&Afr-Amr Stds,AAAS 460,APPT,,Spring2023,2023,"Ukpokodu, Peter",1,20
Field Experience,AAAS 496,APPT,,Spring2023,2023,"Alexander, Shawn",1,21
Field Experience,AAAS 496,APPT,,Spring2023,2023,"Bolden, Anthony",1,21
Field Experience,AAAS 496,APPT,,Spring2023,2023,"Gerschultz, Jessica",1,21
Field Experience,AAAS 496,APPT,,Spring2023,2023,"Jelks, Randal",1,21
Field Experience,AAAS 496,APPT,,Spring2023,2023,"MacGonagle, Elizabeth",1,21
Field Experience,AAAS 496,APPT,,Spring2023,2023,"Ojiambo, Peter",1,21
Field Experience,AAAS 496,APPT,,Spring2023,2023,"Pennington, Dorthy",1,21
Field Experience,AAAS 496,APPT,,Spring2023,2023,"MacGonagle, Elizabeth; Rhine, Kathryn; De Andrade Tosta, Antonio",1,21
Field Experience,AAAS 496,APPT,,Spring2023,2023,"Ukpokodu, Peter",1,21
Directed Language Study:,AAAS 502,APPT,,Spring2023,2023,"Correa Fernandes, Marie",1,22
Directed Language Study:,AAAS 502,11:00,11:50 AM,Spring2023,2023,"EL HAIMEUR, AMAL",1,22
Directed Language Study:,AAAS 502,09:00,09:50 AM,Spring2023,2023,"Pembe, Hilda",1,22
Directed Language Study:,AAAS 502,09:30,10:45 AM,Spring2023,2023,"Pembe, Hilda",1,22
Directed Language Study:,AAAS 502,APPT,,Spring2023,2023,"Correa Fernandes, Marie",1,22
Directed Language Study:,AAAS 502,09:30,10:45 AM,Spring2023,2023,"Benbaba, Asmaa",1,22
Directed Language Study:,AAAS 502,09:00,09:50 AM,Spring2023,2023,"Benbaba, Asmaa",1,22
Directed Language Study:,AAAS 503,12:30,01:45 PM,Spring2023,2023,"EL HAIMEUR, AMAL",1,23
Directed Language Study:,AAAS 503,APPT,,Spring2023,2023,"Correa Fernandes, Marie",1,23
Directed Language Study:,AAAS 503,APPT,,Spring2023,2023,"Correa Fernandes, Marie",1,23
Directed Language Study:,AAAS 503,11:00,12:15 PM,Spring2023,2023,"Pembe, Hilda",1,23
Directed Language Study I:,AAAS 504,11:00,12:15 PM,Spring2023,2023,"Benbaba, Asmaa",1,24
Directed Language Study I:,AAAS 504,APPT,,Spring2023,2023,"Correa Fernandes, Marie",1,24
Directed Language Study II:,AAAS 505,11:00,12:15 PM,Spring2023,2023,"Benbaba, Asmaa",1,25
Directed Language Study II:,AAAS 505,APPT,,Spring2023,2023,"Correa Fernandes, Marie",1,25
Directed Language Study II:,AAAS 505,11:00,12:15 PM,Spring2023,2023,"Pembe, Hilda",1,25
African Studies in:,AAAS 520,11:00,12:15 PM,Spring2023,2023,"Ukpokodu, Peter",1,26
African Studies in:,AAAS 520,APPT,,Spring2023,2023,"Leslie-Canty, Teresa",1,26
African Studies in:,AAAS 520,APPT,,Spring2023,2023,"Gerschultz, Jessica",1,26
African-American Studies in:,AAAS 523,11:00,12:15 PM,Spring2023,2023,"Pennington, Dorthy",1,27
The Rhetoric of Black Americns,AAAS 534,01:00,02:15 PM,Spring2023,2023,"Pennington, Dorthy",1,28
Senior Seminar in:,AAAS 550,04:30,07:00 PM,Spring2023,2023,"Bolden, Anthony",1,29
Sexuality&Gender Africa Histry,AAAS 598,12:30,01:45 PM,Spring2023,2023,"Ochwada, Hannington",1,30
Investigation and Conference,AAAS 690,APPT,,Spring2023,2023,"Alexander, Shawn",1,31
Investigation and Conference,AAAS 690,APPT,,Spring2023,2023,"Bolden, Anthony",1,31
Investigation and Conference,AAAS 690,APPT,,Spring2023,2023,"Correa Fernandes, Marie",1,31
Investigation and Conference,AAAS 690,APPT,,Spring2023,2023,"Hines, Dorothy",1,31
Investigation and Conference,AAAS 690,APPT,,Spring2023,2023,"Gerschultz, Jessica",1,31
Investigation and Conference,AAAS 690,APPT,,Spring2023,2023,"Jelks, Randal",1,31
Investigation and Conference,AAAS 690,APPT,,Spring2023,2023,"MacGonagle, Elizabeth",1,31
Investigation and Conference,AAAS 690,APPT,,Spring2023,2023,"Ojiambo, Peter",1,31
Investigation and Conference,AAAS 690,APPT,,Spring2023,2023,"Pennington, Dorthy",1,31
Investigation and Conference,AAAS 690,APPT,,Spring2023,2023,"Ukpokodu, Peter",1,31
Honors Project in:,AAAS 695,APPT,,Spring2023,2023,"Alexander, Shawn",1,32
Honors Project in:,AAAS 695,APPT,,Spring2023,2023,"Bolden, Anthony",1,32
Honors Project in:,AAAS 695,APPT,,Spring2023,2023,"Gerschultz, Jessica",1,32
Honors Project in:,AAAS 695,APPT,,Spring2023,2023,"Jelks, Randal",1,32
Honors Project in:,AAAS 695,APPT,,Spring2023,2023,"MacGonagle, Elizabeth",1,32
Honors Project in:,AAAS 695,APPT,,Spring2023,2023,"Ojiambo, Peter",1,32
Honors Project in:,AAAS 695,APPT,,Spring2023,2023,"Pennington, Dorthy",1,32
Honors Project in:,AAAS 695,APPT,,Spring2023,2023,"Ukpokodu, Peter",1,32
Introd Applied Behavrl Science,ABSC 100,APPT,,Spring2023,2023,"Reed, Derek",1,33
Introd Applied Behavrl Science,ABSC 100,03:00,04:15 PM,Spring2023,2023,"Reed, Derek",1,33
Introd Applied Behavrl Science,ABSC 100,08:00,09:15 AM,Spring2023,2023,"Cao, Anne",1,33
Introd Applied Behavrl Science,ABSC 100,09:30,10:45 AM,Spring2023,2023,"Cao, Anne",1,33
